iteration,final_score,validation_score,activation_rate,activation_penalty,performance_outcomes,temporal_consistency,context_sensitivity,recommendation_effectiveness,elite_pattern_alignment
1,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
2,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
3,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
4,0.7404901214815985,0.7404901214815985,0.2651473040578099,0.0,0.5,0.9024506074079925,1.0,0.5666666666666667,1.0
5,0.7423726208197315,0.7423726208197315,0.2526403557531962,0.0,0.5,0.9118631040986579,1.0,0.5666666666666667,1.0
6,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
7,0.742404687518465,0.742404687518465,0.25236242356864924,0.0,0.5,0.9120234375923248,1.0,0.5666666666666667,1.0
8,0.7398257090382412,0.7398257090382412,0.26820455808782656,0.0,0.5,0.8991285451912062,1.0,0.5666666666666667,1.0
9,0.7408806374137679,0.7408806374137679,0.2623679822123402,0.0,0.5,0.9044031870688399,1.0,0.5666666666666667,1.0
10,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
11,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
12,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
13,0.7414503842313657,0.7414503842313657,0.25931072818232354,0.0,0.5,0.9072519211568282,1.0,0.5666666666666667,1.0
14,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
15,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
16,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
17,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
18,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
19,0.7425117526637098,0.7425117526637098,0.2518065591995553,0.0,0.5,0.9125587633185496,1.0,0.5666666666666667,1.0
20,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
21,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
22,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
23,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
24,0.7599999999999999,0.7599999999999999,0.11006114508060033,0.0,0.5,1.0,1.0,0.5666666666666667,1.0
